,propeller,parent_f_name,parent_t_name,detected_topology,blades_similarity,topology_ration,Superkingdom,Phylum,Class,Order,Genus,Species,Classification,Termini_distance,Protein_coverage
55,RKU11314.1_#1,Peptidase_S9,7-bladed,4,63.7,0.5714285714285714,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,12,81.05726872246696
56,RKU07381.1_#1,Peptidase_S9,7-bladed,5,68.29,0.7142857142857143,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,24,80.21201413427562
57,RKU32372.1_#1,Peptidase_S9,7-bladed,4,65.29,0.5714285714285714,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,25,76.05042016806723
58,RKU07239.1_#1,Peptidase_S9,7-bladed,6,62.59,0.8571428571428571,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,24,82.87461773700306
59,RKU05924.1_#1,Peptidase_S9,7-bladed,6,66.23,0.8571428571428571,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Poribacteria bacterium,Complete,25,83.23529411764706
60,PIP12065.1_#1,Peptidase_S9,7-bladed,7,65.77,1.0,Bacteria,na,na,na,bacterium,bacterium (Candidatus Stahlbacteria) CG23_combo_of_CG06-09_8_20_14_all_40_9,Complete,39,69.46902654867256
61,GBD31744.1_#1,Peptidase_S9,7-bladed,2,64.29,0.2857142857142857,Bacteria,na,na,na,bacterium,bacterium HR33,Incomplete,365,8.37789661319073
62,RIL12061.1_#1,Peptidase_S9,7-bladed,2,80.0,0.2857142857142857,Bacteria,na,na,na,bacterium,bacterium,Incomplete,71,10.518731988472622
63,TAN33448.1_#1,Peptidase_S9,7-bladed,2,83.33,0.2857142857142857,Bacteria,na,na,na,bacterium,bacterium,Incomplete,79,6.0699588477366255
64,TAM59879.1_#1,Peptidase_S9,7-bladed,2,80.0,0.2857142857142857,Bacteria,na,na,na,bacterium,bacterium,Incomplete,63,8.87218045112782
65,TAM78305.1_#1,Peptidase_S9,7-bladed,2,83.33,0.2857142857142857,Bacteria,na,na,na,bacterium,bacterium,Incomplete,63,8.727810650887575
66,GBE27452.1_#1,Peptidase_S9,7-bladed,2,73.33,0.2857142857142857,Bacteria,na,na,na,bacterium,bacterium BMS3Bbin03,Incomplete,301,10.479921645445641
67,RKY76768.1_#1,Peptidase_S9,7-bladed,2,80.77,0.2857142857142857,Bacteria,na,na,na,candidate,candidate division KSB1 bacterium,Incomplete,37,7.927677329624478
68,OPX24874.1_#1,Peptidase_S9,7-bladed,7,63.64,1.0,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Latescibacteria bacterium 4484_107,Complete,20,80.8080808080808
69,RKY72048.1_#1,Peptidase_S9,7-bladed,2,85.71,0.2857142857142857,Bacteria,candidate phyla,na,na,Candidatus,Candidatus Latescibacteria bacterium,Incomplete,411,5.655042412818096
70,RMG25775.1_#1,Peptidase_S9,7-bladed,7,69.23,1.0,Bacteria,Armatimonadetes,na,na,Armatimonadetes,Armatimonadetes bacterium,Complete,2,89.31750741839762
71,WP_025227132.1_#1,Peptidase_S9,7-bladed,2,87.5,0.2857142857142857,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonas,Fimbriimonas ginsengisoli Gsoil 348,Incomplete,69,8.4070796460177
72,TMD89387.1_#1,Peptidase_S9,7-bladed,2,82.14,0.2857142857142857,Bacteria,Chloroflexi,na,na,Chloroflexi,Chloroflexi bacterium,Incomplete,68,5.476864966949953
73,TME97580.1_#1,Peptidase_S9,7-bladed,2,80.0,0.2857142857142857,Bacteria,Chloroflexi,na,na,Chloroflexi,Chloroflexi bacterium,Incomplete,68,5.4613935969868175
74,TDI93808.1_#1,Peptidase_S9,7-bladed,2,80.77,0.2857142857142857,Bacteria,Chloroflexi,na,na,Chloroflexi,Chloroflexi bacterium,Incomplete,89,8.79765395894428
75,TMD26194.1_#1,Peptidase_S9,7-bladed,2,70.0,0.2857142857142857,Bacteria,Chloroflexi,na,na,Chloroflexi,Chloroflexi bacterium,Incomplete,22,42.622950819672134
76,TMD70400.1_#1,Peptidase_S9,7-bladed,2,82.14,0.2857142857142857,Bacteria,Chloroflexi,na,na,Chloroflexi,Chloroflexi bacterium,Incomplete,68,5.603864734299517
77,PZC49065.1_#1,Peptidase_S9,7-bladed,2,68.75,0.2857142857142857,Bacteria,Chloroflexi,na,na,Chloroflexi,Chloroflexi bacterium,Incomplete,12,17.465224111282843
78,TMD35210.1_#1,Peptidase_S9,7-bladed,2,85.71,0.2857142857142857,Bacteria,Chloroflexi,na,na,Chloroflexi,Chloroflexi bacterium,Incomplete,68,5.776892430278885
79,PKO10759.1_#1,Peptidase_S9,7-bladed,2,83.33,0.2857142857142857,Bacteria,Chloroflexi,na,na,Chloroflexi,Chloroflexi bacterium HGW-Chloroflexi-2,Incomplete,68,8.695652173913043
80,PKO10759.1_#2,Peptidase_S9,7-bladed,2,64.29,0.2857142857142857,Bacteria,Chloroflexi,na,na,Chloroflexi,Chloroflexi bacterium HGW-Chloroflexi-2,Complete,198,19.1904047976012
81,ADI19529.1_#1,Peptidase_S9,7-bladed,2,82.14,0.2857142857142857,Bacteria,Chloroflexi,na,na,uncultured,uncultured Chloroflexi bacterium HF0770_09E03,Incomplete,89,12.987012987012987
82,TET86077.1_#1,Peptidase_S9,7-bladed,3,66.67,0.42857142857142855,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineales,Anaerolineales bacterium,Incomplete,50,17.341040462427745
83,TEU20501.1_#1,Peptidase_S9,7-bladed,2,93.75,0.2857142857142857,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineales,Anaerolineales bacterium,Complete,88,14.216867469879517
84,OIN88051.1_#1,Peptidase_S9,7-bladed,2,83.33,0.2857142857142857,Bacteria,Chloroflexi,Anaerolineae,na,Anaerolineae,Anaerolineae bacterium CG1_02_58_13,Complete,2,89.87341772151899
85,WP_012119900.1_#1,Peptidase_S9,7-bladed,2,66.67,0.2857142857142857,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexus,Roseiflexus castenholzii DSM 13941,Complete,32,15.254237288135593
86,WP_012616643.1_#1,Peptidase_S9,7-bladed,2,60.71,0.2857142857142857,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexus,Chloroflexus aggregans DSM 9485,Incomplete,22,15.952732644017726
87,PJF43319.1_#1,Peptidase_S9,7-bladed,2,85.71,0.2857142857142857,Bacteria,Chloroflexi,Candidatus Thermofonsia,na,Candidatus,Candidatus Thermofonsia Clade 2 bacterium,Complete,164,13.846153846153847
88,WP_143714801.1_#1,Peptidase_S9,7-bladed,2,80.77,0.2857142857142857,Bacteria,Chloroflexi,Thermomicrobia,Thermomicrobiales,Thermomicrobium,Thermomicrobium roseum,Incomplete,74,8.93939393939394
89,RLS35667.1_#1,Peptidase_S9,7-bladed,2,86.67,0.2857142857142857,Bacteria,Planctomycetes,na,na,Planctomycetes,Planctomycetes bacterium,Incomplete,101,8.033240997229917
90,TKJ35398.1_#1,Peptidase_S9,7-bladed,4,61.54,0.5714285714285714,Bacteria,Planctomycetes,na,na,Planctomycetes,Planctomycetes bacterium B3_Pla,Complete,10,86.93467336683418
91,WP_152051351.1_#1,Peptidase_S9,7-bladed,2,80.77,0.2857142857142857,Bacteria,Planctomycetes,Planctomycetia,Isosphaerales,Aquisphaera,Aquisphaera sp. JC650,Incomplete,71,17.1875
92,WP_007331893.1_#1,Peptidase_S9,7-bladed,2,82.14,0.2857142857142857,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Rhodopirellula,Rhodopirellula baltica SH28,Incomplete,187,6.132879045996593
93,TMK84950.1_#1,Peptidase_S9,7-bladed,6,75.66,0.8571428571428571,Bacteria,Actinobacteria,Actinobacteria,na,Actinobacteria,Actinobacteria bacterium,Complete,52,35.430916552667576
94,TMK90027.1_#1,Peptidase_S9,7-bladed,2,88.46,0.2857142857142857,Bacteria,Actinobacteria,Actinobacteria,na,Actinobacteria,Actinobacteria bacterium,Incomplete,122,12.698412698412698
95,TMK93523.1_#1,Peptidase_S9,7-bladed,2,80.0,0.2857142857142857,Bacteria,Actinobacteria,Actinobacteria,na,Actinobacteria,Actinobacteria bacterium,Incomplete,124,15.2
96,TML68975.1_#1,Peptidase_S9,7-bladed,2,81.25,0.2857142857142857,Bacteria,Actinobacteria,Actinobacteria,na,Actinobacteria,Actinobacteria bacterium,Incomplete,67,11.524163568773234
97,WP_015103863.1_#1,Peptidase_S9,7-bladed,2,66.67,0.2857142857142857,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Saccharothrix,Saccharothrix espanaensis DSM 44229,Complete,76,9.563602599814299
98,WP_042188822.1_#1,Peptidase_S9,7-bladed,2,81.25,0.2857142857142857,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Kibdelosporangium,Kibdelosporangium sp. MJ126-NF4,Incomplete,68,5.483271375464684
99,WP_078904944.1_#1,Peptidase_S9,7-bladed,2,67.65,0.2857142857142857,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomyces,Streptomyces xanthophaeus,Incomplete,379,5.452865064695009
100,WP_152173277.1_#1,Peptidase_S9,7-bladed,2,66.67,0.2857142857142857,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomyces,Streptomyces sp. GY16,Incomplete,102,11.09040074557316
101,WP_117379715.1_#1,Peptidase_S9,7-bladed,2,71.43,0.2857142857142857,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilus,Geodermatophilus sp. LHW52908,Incomplete,70,7.578008915304606
102,WP_132103595.1_#1,Peptidase_S9,7-bladed,2,73.33,0.2857142857142857,Bacteria,Actinobacteria,Actinobacteria,Jiangellales,Jiangella,Jiangella sp. 8K307,Incomplete,17,9.821428571428571
103,WP_141721299.1_#1,Peptidase_S9,7-bladed,2,75.0,0.2857142857142857,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonospora,Micromonospora eburnea,Complete,269,4.186795491143317
104,WP_052665524.1_#1,Peptidase_S9,7-bladed,2,82.14,0.2857142857142857,Bacteria,Actinobacteria,Nitriliruptoria,Nitriliruptorales,Nitriliruptor,Nitriliruptor alkaliphilus,Incomplete,14,12.296296296296296
105,WP_080018431.1_#1,Peptidase_S9,7-bladed,3,73.53,0.42857142857142855,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus cereus,Complete,1,95.72649572649573
106,WP_139887678.1_#1,Peptidase_S9,7-bladed,4,80.65,0.5714285714285714,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus tropicus,Complete,6,46.321525885558586
107,WP_152116099.1_#1,Peptidase_S9,7-bladed,2,82.14,0.2857142857142857,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus sp. B1-b2,Incomplete,67,8.814589665653495
108,WP_101567880.1_#1,Peptidase_S9,7-bladed,2,85.71,0.2857142857142857,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus sp. UMB0893,Incomplete,200,8.761329305135952
109,WP_110065401.1_#1,Peptidase_S9,7-bladed,2,84.62,0.2857142857142857,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus oceanisediminis,Incomplete,72,8.472012102874432
110,WP_141433150.1_#1,Peptidase_S9,7-bladed,2,80.0,0.2857142857142857,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus sp. 03113,Incomplete,70,8.814589665653495
111,WP_066295036.1_#1,Peptidase_S9,7-bladed,2,83.33,0.2857142857142857,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus sp. FJAT-29937,Incomplete,71,8.761329305135952
112,WP_079533764.1_#1,Peptidase_S9,7-bladed,2,79.41,0.2857142857142857,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus sp. DSM 27956,Incomplete,73,9.200603318250376
113,WP_051082449.1_#1,Peptidase_S9,7-bladed,2,82.14,0.2857142857142857,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillus,Paenibacillus sanguinis,Incomplete,60,8.91238670694864
114,WP_093046297.1_#1,Peptidase_S9,7-bladed,3,66.67,0.42857142857142855,Bacteria,Firmicutes,Bacilli,Bacillales,Thalassobacillus,Thalassobacillus cyri,Complete,21,16.036308623298034
115,WP_092493536.1_#1,Peptidase_S9,7-bladed,2,81.25,0.2857142857142857,Bacteria,Firmicutes,Bacilli,Bacillales,Virgibacillus,Virgibacillus salinus,Incomplete,70,8.87218045112782
116,WP_087799687.1_#1,Peptidase_S9,7-bladed,2,80.77,0.2857142857142857,Bacteria,Firmicutes,Bacilli,Bacillales,Saccharibacillus,Saccharibacillus sp. O16,Complete,70,8.00561797752809
117,WP_087799687.1_#2,Peptidase_S9,7-bladed,2,72.37,0.2857142857142857,Bacteria,Firmicutes,Bacilli,Bacillales,Saccharibacillus,Saccharibacillus sp. O16,Incomplete,218,13.48314606741573
118,WP_090778005.1_#1,Peptidase_S9,7-bladed,2,82.14,0.2857142857142857,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillaceae bacterium GAS479,Incomplete,85,9.264705882352942
119,WP_084031471.1_#1,Peptidase_S9,7-bladed,2,73.53,0.2857142857142857,Bacteria,Firmicutes,Bacilli,Bacillales,Anaerobacillus,Anaerobacillus arseniciselenatis,Incomplete,72,9.323308270676693
120,PYP19385.1_#1,Peptidase_S9,7-bladed,5,72.73,0.7142857142857143,Bacteria,Gemmatimonadetes,na,na,Gemmatimonadetes,Gemmatimonadetes bacterium,Complete,2,90.2542372881356
121,PYP16355.1_#1,Peptidase_S9,7-bladed,6,64.81,0.8571428571428571,Bacteria,Gemmatimonadetes,na,na,Gemmatimonadetes,Gemmatimonadetes bacterium,Complete,5,74.46808510638297
122,PYO09406.1_#1,Peptidase_S9,7-bladed,3,75.0,0.42857142857142855,Bacteria,Gemmatimonadetes,na,na,Gemmatimonadetes,Gemmatimonadetes bacterium,Incomplete,98,8.413793103448276
123,PYO47781.1_#1,Peptidase_S9,7-bladed,2,69.23,0.2857142857142857,Bacteria,Gemmatimonadetes,na,na,Gemmatimonadetes,Gemmatimonadetes bacterium,Complete,29,18.146718146718147
124,GDX88018.1_#1,Peptidase_S9,7-bladed,2,84.62,0.2857142857142857,Bacteria,Gemmatimonadetes,na,na,Gemmatimonadetes,Gemmatimonadetes bacterium,Incomplete,74,10.090361445783133
125,PYP05165.1_#1,Peptidase_S9,7-bladed,7,60.98,1.0,Bacteria,Gemmatimonadetes,na,na,Gemmatimonadetes,Gemmatimonadetes bacterium,Complete,17,81.47138964577657
126,ODT03589.1_#1,Peptidase_S9,7-bladed,3,65.0,0.42857142857142855,Bacteria,Gemmatimonadetes,na,na,Gemmatimonadetes,Gemmatimonadetes bacterium SCN 70-22,Incomplete,75,30.627871362940276
127,TVR51304.1_#1,Peptidase_S9,7-bladed,2,84.62,0.2857142857142857,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadales,Gemmatimonadales bacterium,Incomplete,114,7.6282940360610265
128,TVR50699.1_#1,Peptidase_S9,7-bladed,2,83.33,0.2857142857142857,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadales,Gemmatimonadales bacterium,Incomplete,129,8.299319727891156
129,WP_148306320.1_#1,Peptidase_S9,7-bladed,2,85.71,0.2857142857142857,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatirosa,Gemmatirosa kalamazoonesis,Complete,465,8.22722820763957
130,OLE54899.1_#1,Peptidase_S9,7-bladed,2,80.56,0.2857142857142857,Bacteria,Acidobacteria,na,na,Acidobacteria,Acidobacteria bacterium 13_1_20CM_3_53_8,Incomplete,187,19.94459833795014
131,PYS52061.1_#1,Peptidase_S9,7-bladed,2,80.65,0.2857142857142857,Bacteria,Acidobacteria,na,na,Acidobacteria,Acidobacteria bacterium,Incomplete,60,10.256410256410257
132,PYS61816.1_#1,Peptidase_S9,7-bladed,2,76.92,0.2857142857142857,Bacteria,Acidobacteria,na,na,Acidobacteria,Acidobacteria bacterium,Complete,12,23.832923832923832
133,PYX34190.1_#1,Peptidase_S9,7-bladed,3,64.71,0.42857142857142855,Bacteria,Acidobacteria,na,na,Acidobacteria,Acidobacteria bacterium,Complete,2,93.22033898305085
134,RPI26489.1_#1,Peptidase_S9,7-bladed,2,80.0,0.2857142857142857,Bacteria,Acidobacteria,na,na,Acidobacteria,Acidobacteria bacterium,Complete,148,8.875739644970414
135,RPH63435.1_#1,Peptidase_S9,7-bladed,2,80.77,0.2857142857142857,Bacteria,Acidobacteria,na,na,Acidobacteria,Acidobacteria bacterium,Incomplete,163,6.4261555806087935
